UID2021,UTMX,UTMY,LatinName,CommonName,SpeciesID,PositionSt,lat,long
127,453846.95000000000,4942325.87000000000,Gleditsia triacanthos,Sunburst Honey-Locust,52,Good - Ground Truthed,44.63280688190,-63.58188025160
128,453838.24000000000,4942319.80000000000,Betula papyrifera,Paperbark Birch,21,Good - Ground Truthed,44.63275168000,-63.58198951220
129,453835.35000000000,4942319.70000000000,Betula papyrifera,Paperbark Birch,21,Good - Ground Truthed,44.63275059410,-63.58202593740
130,453840.89000000000,4942311.10000000000,Quercus robur,English Oak,102,Good - Ground Truthed,44.63267353240,-63.58195532110
131,453835.69000000000,4942310.96000000000,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63267193810,-63.58202086460
132,453836.72000000000,4942307.40000000000,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63263995700,-63.58200755910
133,453837.24000000000,4942302.22000000000,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63259335980,-63.58200053750
134,453837.93000000000,4942303.09000000000,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63260123590,-63.58199191700
135,453849.82000000000,4942318.23000000000,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63273829060,-63.58184338240
136,453850.31000000000,4942314.50000000000,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63270474440,-63.58183686950
137,453877.11000000000,4942286.74000000000,Quercus rubra,Red Oak,103,Check position,44.63245656850,-63.58149650770
138,453869.66000000000,4942299.59000000000,Ulmus glabra,Elm,121,Check position,44.63257176650,-63.58159158440
139,453865.11000000000,4942314.77000000000,Larix decidua,European Larch,64,Good - Ground Truthed,44.63270812540,-63.58165031080
140,453861.07000000000,4942332.21000000000,Tilia cordata,Basswood,116,Check position,44.63286486160,-63.58170281130
141,453866.14000000000,4942336.18000000000,Phellodendron amurense,Amur Cork Tree,87,Good - Ground Truthed,44.63290092530,-63.58163925080
142,453875.95000000000,4942338.98000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63292676080,-63.58151582790
143,453889.37000000000,4942343.68000000000,Juglans cinerea,? Butternut,59,Good - Ground Truthed,44.63296993170,-63.58134706430
144,453940.31000000000,4942361.07000000000,Juglans ailantifolia,Japanese Walnut,58,Good - Ground Truthed,44.63312974450,-63.58070642430
145,453950.12000000000,4942339.36000000000,Cornus kausa var. chinensis,Chinese Flowering Dogwood,38,Good - Ground Truthed,44.63293493890,-63.58058080060
146,453955.59000000000,4942331.26000000000,Acer platanoides ?,Norway Maple,7,Good - Ground Truthed,44.63286237280,-63.58051111330
147,453951.77000000000,4942328.40000000000,Quercus robur,English Oak,102,Good - Ground Truthed,44.63283638220,-63.58055901530
148,453940.03000000000,4942327.85000000000,Corylus colurna,Turkish Hazel,40,Good - Ground Truthed,44.63283067860,-63.58070697200
149,453930.16000000000,4942331.95000000000,Salix sp.,Willow,108,Good - Ground Truthed,44.63286695420,-63.58083177100
150,453913.34000000000,4942322.73000000000,Gleditsia triacanthos,Honey Locust,51,Good - Ground Truthed,44.63278287670,-63.58104299240
151,453897.37000000000,4942319.42000000000,Cladrastis lutea,Yellow Wood,34,Good - Ground Truthed,44.63275205550,-63.58124402830
152,453888.61000000000,4942318.20000000000,Acer griseum,Paperbark Maple,3,Good - Ground Truthed,44.63274051090,-63.58135435570
153,453882.03000000000,4942309.50000000000,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63266177080,-63.58143652750
154,453890.38000000000,4942311.21000000000,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63267770020,-63.58133141320
155,453898.13000000000,4942309.08000000000,Chamaecyparus sp.,Cypress,33,Good - Ground Truthed,44.63265902310,-63.58123351790
156,453902.94000000000,4942309.93000000000,Chamaecyparus sp.,Cypress,33,Good - Ground Truthed,44.63266698340,-63.58117295490
157,453913.93000000000,4942315.01000000000,Chamaecyparus sp.,Cypress,33,Good - Ground Truthed,44.63271341880,-63.58103486090
158,453917.73000000000,4942316.94000000000,Chamaecyparus sp.,Cypress,33,Good - Ground Truthed,44.63273103650,-63.58098712780
159,453935.45000000000,4942318.81000000000,Aralia elata,Japanese Angelica Tree,17,Good - Ground Truthed,44.63274900650,-63.58076390030
160,453938.12000000000,4942309.25000000000,Acer campestris,Hedge Maple,2,Good - Ground Truthed,44.63266311810,-63.58072938150
161,453940.53000000000,4942300.74000000000,Syringa reticulata var. Ivory Silk,Ivory Silk or Tree Lilac,115,Good - Ground Truthed,44.63258666520,-63.58069823480
162,453939.77000000000,4942295.66000000000,Tsuga canadensis ?,Eastern Hemlock,118,Good - Ground Truthed,44.63254088610,-63.58070736000
163,453944.37000000000,4942282.18000000000,Prunus serrulata var kiku-shidare-sa,Weeping Japanese Cherry,98,Good - Ground Truthed,44.63241983340,-63.58064815820
164,453936.34000000000,4942275.71000000000,Rhus typhina,Staghorn Sumac,105,Good - Ground Truthed,44.63236107540,-63.58074881070
165,453929.98000000000,4942276.45000000000,Magnolia stellata var Royal Star,Star Magnolia,75,Good - Ground Truthed,44.63236732920,-63.58082905690
166,453926.80000000000,4942275.04000000000,Malus sp.,Flowering Crab,77,Good - Ground Truthed,44.63235443240,-63.58086902010
167,453928.69000000000,4942270.46000000000,Morus alba,White Mulberry,84,Good - Ground Truthed,44.63231332420,-63.58084478190
168,453932.74000000000,4942271.09000000000,Quercus robur,English Oak,102,Good - Ground Truthed,44.63231925520,-63.58079378060
169,453926.36000000000,4942262.74000000000,Crataegus laevigatus var Pauls Scarl,Pink May or Hawthorn,41,Good - Ground Truthed,44.63224367900,-63.58087346270
170,453935.98000000000,4942256.41000000000,Metasequoia glyptostroboides,Dawn Cypress or Dawn Redwood,83,Good - Ground Truthed,44.63218731280,-63.58075161640
171,453939.79000000000,4942263.16000000000,Hibiscus syriacus var. 'Lucy',Rose of Sharon,54,Good - Ground Truthed,44.63224832090,-63.58070419030
172,453942.63000000000,4942267.91000000000,Juglans nigra*,Black Walnut,60,Good - Ground Truthed,44.63229126260,-63.58066881320
173,453958.45000000000,4942291.12000000000,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63250121400,-63.58047145530
174,453964.49000000000,4942290.06000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63249205880,-63.58039521450
175,453961.57000000000,4942284.99000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63244623140,-63.58043157170
176,453961.36000000000,4942280.89000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63240930950,-63.58043385130
177,453957.04000000000,4942266.09000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63227580240,-63.58048698490
178,453953.65000000000,4942260.56000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63222580390,-63.58052922590
179,453954.50000000000,4942241.47000000000,Gymnocladus diocus*,Kentucky Coffee Tree,53,Good - Ground Truthed,44.63205400930,-63.58051679690
180,453944.43000000000,4942246.62000000000,Malus sp.,Weeping Crab Apple,82,Good - Ground Truthed,44.63209972450,-63.58064420980
181,453937.65000000000,4942247.28000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63210523120,-63.58072974340
182,453930.66000000000,4942240.09000000000,Sorbus intermedia,Swedish Whitebeam,112,Good - Ground Truthed,44.63204005840,-63.58081721950
183,453938.77000000000,4942235.33000000000,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63199772860,-63.58071455090
184,453941.30000000000,4942226.79000000000,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63192101330,-63.58068188910
185,453932.35000000000,4942229.51000000000,Cerciiphyllum japonicum,Katsura Tree,31,Good - Ground Truthed,44.63194492510,-63.58079496410
186,453921.80000000000,4942229.69000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63194586900,-63.58092798190
187,453921.60000000000,4942220.18000000000,Gleditsia triacanthos,Honey Locust,51,Good - Ground Truthed,44.63186024670,-63.58092964920
188,453914.94000000000,4942241.08000000000,Gleditsia triacanthos,Honey Locust,51,Good - Ground Truthed,44.63204796240,-63.58101548750
189,453934.16000000000,4942221.84000000000,Malus sp.,Flowering Crab 'Makamik',78,Good - Ground Truthed,44.63187599540,-63.58077145720
190,453942.53000000000,4942220.92000000000,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63186825010,-63.58066585590
191,453943.14000000000,4942218.88000000000,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63184992500,-63.58065798260
192,453944.07000000000,4942216.77000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63183099030,-63.58064606890
193,453942.77000000000,4942213.51000000000,Celtis occidentalis*,Hackbery,30,Good - Ground Truthed,44.63180156030,-63.58066216510
194,453937.81000000000,4942208.23000000000,Prunus Padus,European Pin Cherry or Mayday Tree,97,Good - Ground Truthed,44.63175371160,-63.58072422060
195,453935.97000000000,4942215.39000000000,Betula alleghaniensis*,Yellow Birch,19,Good - Ground Truthed,44.63181804830,-63.58074805980
196,453927.56000000000,4942206.93000000000,Magnolia sp.,var. Wades Memory,74,Good - Ground Truthed,44.63174135180,-63.58085332310
197,453925.09000000000,4942205.19000000000,Betula papyrifera,White Birch,22,Good - Ground Truthed,44.63172552980,-63.58088430550
198,453928.29000000000,4942202.85000000000,Sambucus canadensis*,Canadian Elder,109,Good - Ground Truthed,44.63170467020,-63.58084375380
199,453926.27000000000,4942197.24000000000,Sorbus aucuparia,Mountain Ash,110,Good - Ground Truthed,44.63165403920,-63.58086871570
200,453921.18000000000,4942161.15000000000,Ostrya virginiana*,Ironwood or Hop-Hornbeam,86,Check position,44.63132882900,-63.58092964290
201,453912.18000000000,4942158.36000000000,Magnolia stellata var Royal Star,Star Magnolia,75,Good - Ground Truthed,44.63130313610,-63.58104285220
202,453914.26000000000,4942135.20000000000,Cercis canadensis*,Redbud or Judas Tree,32,Check position,44.63109478210,-63.58101455030
203,453913.96000000000,4942131.55000000000,Chamaecyparus sp.,Cypress,33,Check position,44.63106190530,-63.58101800440
204,453919.10000000000,4942134.31000000000,Chamaecyparus sp.,Cypress,33,Check position,44.63108708060,-63.58095345440
205,453922.27000000000,4942134.58000000000,Chamaecyparus sp.,Cypress,33,Check position,44.63108971450,-63.58091351570
206,453929.58000000000,4942141.23000000000,Magnolia brooklynensis,var. Yellow Bird,69,Good - Ground Truthed,44.63115004680,-63.58082195850
207,453921.05000000000,4942115.92000000000,Malus sp.,Flowering Crab 'Profusion',79,Check position,44.63092165800,-63.58092722010
208,453946.07000000000,4942191.84000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63160669740,-63.58061861780
209,453940.39000000000,4942192.37000000000,Acer saccharum,Sugar Maple,10,Good - Ground Truthed,44.63161110450,-63.58069027150
210,453944.69000000000,4942202.06000000000,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63169860990,-63.58063693240
211,453956.08000000000,4942203.83000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63171527350,-63.58049350050
212,453950.09000000000,4942213.52000000000,Juglans nigra*,Black Walnut,60,Good - Ground Truthed,44.63180211950,-63.58056988450
213,453959.29000000000,4942218.67000000000,Magnolia sieboldii,Siebolds Magnolia,72,Good - Ground Truthed,44.63184906950,-63.58045436440
214,453967.08000000000,4942222.58000000000,Carya lacinosa*,Shellbark Hickory,26,Good - Ground Truthed,44.63188476660,-63.58035650850
215,453969.18000000000,4942217.73000000000,Quercus robur,English Oak,102,Good - Ground Truthed,44.63184124120,-63.58032959910
216,453972.65000000000,4942216.15000000000,Quercus robur,English Oak,102,Good - Ground Truthed,44.63182724030,-63.58028571190
217,453979.98000000000,4942221.69000000000,Carya ovata*,Shagbark Hickory,27,Good - Ground Truthed,44.63187758110,-63.58019380120
218,453987.52000000000,4942225.58000000000,Magnolia soulangeana,Saucer Magnolia,73,Good - Ground Truthed,44.63191308190,-63.58009909490
219,453974.68000000000,4942227.72000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63193152400,-63.58026115800
220,453972.74000000000,4942233.73000000000,Ginko biloba,Maidenhair Tree,50,Good - Ground Truthed,44.63198550200,-63.58028615430
221,453977.72000000000,4942239.76000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63204010340,-63.58022391330
222,453994.71000000000,4942224.87000000000,Acer pensylvanicum*,Striped/Snake-Bark Maple,4,Good - Ground Truthed,44.63190715080,-63.58000838850
223,453997.19000000000,4942232.26000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63197383480,-63.57997778620
224,454003.13000000000,4942231.93000000000,Asimina trilobata*,Pawpaw,18,Good - Ground Truthed,44.63197124430,-63.57990287230
225,454005.83000000000,4942232.89000000000,Cornus alternifolia*,Alternate-leaved Dogwood,35,Good - Ground Truthed,44.63198005910,-63.57986892000
226,454008.41000000000,4942233.80000000000,Magnolia brooklynensis,var. Yellow Bird,69,Good - Ground Truthed,44.63198841610,-63.57983647600
227,453964.82000000000,4942205.83000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63173383760,-63.58038349700
228,453964.96000000000,4942205.97000000000,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63173510680,-63.58038174460
229,453966.41000000000,4942207.96000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63175311380,-63.58036364340
230,453971.32000000000,4942209.97000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63177152240,-63.58030192450
231,453970.55000000000,4942210.04000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63177210320,-63.58031163800
232,453973.35000000000,4942210.73000000000,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63177849400,-63.58027640100
233,453978.17000000000,4942214.19000000000,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63180994980,-63.58021594680
234,453982.56000000000,4942213.23000000000,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63180158900,-63.58016051700
235,454021.57000000000,4942243.64000000000,Malus sp.,Flowering Crab 'Profusion',79,Good - Ground Truthed,44.63207783850,-63.57967145220
236,454020.99000000000,4942247.43000000000,Amelanchier laevis*,Serviceberry or Juneberry,16,Good - Ground Truthed,44.63211191910,-63.57967910380
237,454019.64000000000,4942251.96000000000,Malus sp.,Flowering Crab 'Profusion',79,Good - Ground Truthed,44.63215261200,-63.57969652900
238,454017.70000000000,4942258.35000000000,Malus sp.,Flowering Crab 'Thunder Child',80,Good - Ground Truthed,44.63221001100,-63.57972155890
239,454016.61000000000,4942263.42000000000,Malus sp.,Flowering Crab 'Makamik',78,Good - Ground Truthed,44.63225558160,-63.57973575480
240,454009.05000000000,4942264.30000000000,Malus sp.,Flowering Crab 'Profusion',79,Good - Ground Truthed,44.63226301950,-63.57983114150
241,454007.55000000000,4942289.36000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63248851480,-63.57985229810
242,454000.22000000000,4942289.45000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63248885580,-63.57994471490
243,453987.15000000000,4942288.59000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63248027720,-63.58010941010
244,453982.91000000000,4942299.09000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63257452720,-63.58016380510
245,453993.15000000000,4942298.31000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63256816130,-63.58003464020
246,454009.01000000000,4942302.95000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63261094610,-63.57983511020
247,454021.09000000000,4942308.63000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63266285080,-63.57968332740
248,454035.82000000000,4942307.10000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63265002010,-63.57949749000
249,454037.24000000000,4942307.67000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63265524210,-63.57947963920
250,454036.87000000000,4942309.48000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63267151210,-63.57948446590
251,454043.80000000000,4942313.71000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63271003410,-63.57939747860
252,454046.45000000000,4942313.59000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63270912330,-63.57936405940
253,454049.02000000000,4942313.50000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63270847750,-63.57933165150
254,454051.75000000000,4942300.61000000000,Quercus robur,English Oak,102,Check position,44.63259261570,-63.57929608010
255,454095.07000000000,4942314.00000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63271592190,-63.57875114570
256,454122.68000000000,4942309.79000000000,Aesculus hippocastanum,Horse-Chestnut,14,Good - Ground Truthed,44.63267978670,-63.57840269100
257,454124.85000000000,4942310.14000000000,Aesculus hippocastanum,Horse-Chestnut,14,Good - Ground Truthed,44.63268307600,-63.57837536520
258,454127.16000000000,4942316.26000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63273831600,-63.57834679030
259,454127.79000000000,4942305.53000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63264176420,-63.57833788860
260,454125.27000000000,4942299.78000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63258984150,-63.57836914400
261,454075.03000000000,4942235.38000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63200690030,-63.57899675220
262,454079.31000000000,4942236.56000000000,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63201779630,-63.57894290060
263,454084.05000000000,4942238.77000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63203799370,-63.57888334210
264,454091.21000000000,4942240.27000000000,Ulmus glabra,Elm,121,Check position,44.63205195430,-63.57879321150
265,454095.41000000000,4942241.82000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63206617580,-63.57874040160
266,454103.55000000000,4942244.11000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63208731040,-63.57863798690
267,454117.87000000000,4942249.22000000000,Ulmus glabra,? American Elm,120,Good - Ground Truthed,44.63213422540,-63.57845791410
268,454141.04000000000,4942232.04000000000,Acer saccharum*,Sugar Maple,11,Good - Ground Truthed,44.63198104930,-63.57816427810
269,454144.83000000000,4942217.60000000000,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63185130160,-63.57811520790
270,454143.01000000000,4942213.74000000000,Salix sp.,Willow,108,Good - Ground Truthed,44.63181643750,-63.57813780720
271,454146.51000000000,4942208.58000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63177021030,-63.57809322240
272,454148.13000000000,4942199.26000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63168641450,-63.57807196660
273,454148.81000000000,4942196.59000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63166242250,-63.57806315540
274,454151.12000000000,4942188.04000000000,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63158560230,-63.57803326990
275,454151.67000000000,4942185.81000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63156556280,-63.57802613690
276,454152.45000000000,4942183.23000000000,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63154238730,-63.57801607310
277,454152.37000000000,4942179.52000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63150898460,-63.57801675020
278,454153.10000000000,4942166.26000000000,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63138966400,-63.57800636250
279,454153.68000000000,4942162.15000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63135270250,-63.57799868340
280,454154.43000000000,4942158.50000000000,Sorbus aucuparia,Mountain Ash,110,Good - Ground Truthed,44.63131989290,-63.57798890230
281,454155.04000000000,4942154.70000000000,Fraxinus ?,Ash,47,Good - Ground Truthed,44.63128572400,-63.57798087270
282,454156.00000000000,4942147.87000000000,Juglans ?,Walnut,57,Good - Ground Truthed,44.63122430130,-63.57796816010
283,454161.23000000000,4942134.81000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63110706810,-63.57790106060
284,454161.63000000000,4942132.59000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63108710910,-63.57789581970
285,454162.67000000000,4942130.07000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63106449020,-63.57788248370
286,454156.63000000000,4942111.20000000000,Aesculus glabra,Ohio Buckeye,13,Good - Ground Truthed,44.63089423620,-63.57795694170
287,454160.34000000000,4942112.05000000000,Quercus robur,English Oak,102,Good - Ground Truthed,44.63090212460,-63.57791024730
288,454165.41000000000,4942113.04000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63091136000,-63.57784642040
289,454164.53000000000,4942115.91000000000,Betula papyrifera,White Birch,22,Good - Ground Truthed,44.63093713980,-63.57785777050
290,454160.12000000000,4942120.46000000000,Sorbus intermedia,Swedish Whitebeam,112,Good - Ground Truthed,44.63097781780,-63.57791377200
291,454164.02000000000,4942121.61000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63098841900,-63.57786470910
292,454169.65000000000,4942091.24000000000,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63071538570,-63.57779102140
293,454170.19000000000,4942088.41000000000,Sorbus aucuparia,Mountain Ash,110,Good - Ground Truthed,44.63068994440,-63.57778396110
294,454167.00000000000,4942081.52000000000,Alnus rugosa,Speckled Alder,15,Good - Ground Truthed,44.63062771680,-63.57782356050
